location,truth_date,year_week,value,data_source
AT,2024-04-07,2024-W14,1512.6,ERVISS
AT,2024-03-31,2024-W13,1629.1,ERVISS
AT,2024-03-24,2024-W12,2179.8,ERVISS
AT,2024-03-17,2024-W11,1798.0,ERVISS
AT,2024-03-10,2024-W10,1790.0,ERVISS
AT,2024-03-03,2024-W09,2338.0,ERVISS
AT,2024-02-25,2024-W08,1945.2,ERVISS
AT,2024-02-18,2024-W07,2634.8,ERVISS
AT,2024-02-11,2024-W06,3595.8,ERVISS
AT,2024-02-04,2024-W05,3161.0,ERVISS
AT,2024-01-28,2024-W04,3180.1,ERVISS
AT,2024-01-21,2024-W03,2156.0,ERVISS
AT,2024-01-14,2024-W02,2343.0,ERVISS
AT,2024-01-07,2024-W01,2420.4,ERVISS
AT,2023-12-31,2023-W52,2238.3,ERVISS
AT,2023-12-24,2023-W51,3209.8,ERVISS
AT,2023-12-17,2023-W50,3242.5,ERVISS
AT,2023-12-10,2023-W49,2834.0,ERVISS
AT,2023-12-03,2023-W48,2395.5,ERVISS
AT,2023-11-26,2023-W47,2778.6,ERVISS
AT,2023-11-19,2023-W46,2184.9,ERVISS
AT,2023-11-12,2023-W45,2248.4,ERVISS
AT,2023-11-05,2023-W44,2090.6,ERVISS
AT,2023-10-29,2023-W43,2094.0,ERVISS
AT,2023-10-22,2023-W42,2114.8,ERVISS
AT,2023-10-15,2023-W41,1968.7,ERVISS
AT,2023-10-08,2023-W40,1467.7,ERVISS
AT,2023-04-02,2023-W13,2285.2,ERVISS
AT,2023-03-26,2023-W12,3255.0,ERVISS
AT,2023-03-19,2023-W11,2899.8,ERVISS
AT,2023-03-12,2023-W10,3172.8,ERVISS
AT,2023-03-05,2023-W09,3298.5,ERVISS
AT,2023-02-26,2023-W08,3132.7,ERVISS
AT,2023-02-19,2023-W07,2468.5,ERVISS
AT,2023-02-12,2023-W06,2160.4,ERVISS
AT,2023-02-05,2023-W05,2072.4,ERVISS
AT,2023-01-29,2023-W04,2140.1,ERVISS
AT,2023-01-22,2023-W03,2410.6,ERVISS
AT,2023-01-15,2023-W02,2853.9,ERVISS
AT,2023-01-08,2023-W01,3043.3,ERVISS
AT,2023-01-01,2022-W52,4391.2,ERVISS
AT,2022-12-25,2022-W51,5322.7,ERVISS
AT,2022-12-18,2022-W50,5849.3,ERVISS
AT,2022-12-11,2022-W49,4338.0,ERVISS
AT,2022-12-04,2022-W48,4105.3,ERVISS
AT,2022-11-27,2022-W47,3043.8,ERVISS
AT,2022-11-20,2022-W46,2665.7,ERVISS
AT,2022-11-13,2022-W45,2335.6,ERVISS
AT,2022-11-06,2022-W44,1474.3,ERVISS
